,lat,lon,pop,Region
160,39.721988399999994,-86.0899847,14254.0,BeechGrove
161,28.400831899999996,-97.74833120000001,12997.0,Beeville
162,34.0827278,-118.44798020000002,10213.0,BelAir
163,33.9775142,-118.1870156,35746.0,Bell
164,33.965291799999996,-118.1514588,42347.0,BellGardens
165,29.7057858,-95.45882990000001,17189.0,Bellaire
166,26.68837015,-80.67212577,17647.0,BelleGlade
167,40.3611643,-83.7596557,13270.0,Bellefontaine
168,38.7403281,-90.2265001,10834.0,BellefontaineNeighbors
169,38.520050399999995,-89.98399350000001,43732.0,Belleville
170,47.614421899999996,-122.1923372,63439.666666666664,Bellevue
171,33.8825705,-118.1167679,77134.0,Bellflower
172,48.754402,-122.4788602,81517.0,Bellingham
173,39.867613399999996,-75.0946183,11574.0,Bellmawrborough
174,31.5940545,-97.1088903,9963.0,Bellmead
175,36.134890999999996,-79.8063459,19119.0,Bellwoodvillage
176,42.508327200000004,-89.031784,36858.0,Beloit
177,31.0560132,-97.464453,21059.5,Belton
178,42.2583112,-88.8416157,25546.0,Belvidere
179,47.4786541,-94.89080200000001,14262.0,Bemidji
180,32.673188,-97.46057590000001,21619.0,Benbrook
181,44.058172799999994,-121.31530959999999,77628.0,Bend
182,38.049365,-122.1585777,27192.0,Benicia
183,34.617380299999994,-79.6847814,8975.0,Bennettsville
184,41.9605851,-87.9497884,18436.0,Bensenvillevillage
185,36.0345286,-88.101285,19279.0,Benton
186,42.1167065,-86.4541894,10060.0,BentonHarbor
187,36.302283,-94.28158895,36962.0,Bentonville
188,40.927598700000004,-73.9973608,27060.0,Bergenfieldborough
189,37.8708393,-122.27286389999999,61578.0,Berkeley
190,42.5030909,-83.1835389,15049.0,Berkley
191,35.0349239,-106.68706929999999,8388.0,Bernalillo
192,40.7186805,-74.5692273,7758.0,Bernardsvilleborough
193,41.8505874,-87.79366850000001,56748.0,Berwyn
194,33.3339595,-86.95006956,27360.0,Bessemer
195,38.924769,-90.02204909999999,9498.0,Bethaltovillage
196,38.0984033,-85.8721856,19224.0,Bethany
197,40.6178915,-75.3786521,75084.0,Bethlehem
198,41.5255466,-90.5081478,33773.0,Bettendorf
199,42.5584284,-70.8800491,40070.0,Beverly
200,34.073620399999996,-118.40035630000001,34361.0,BeverlyHills
201,43.4925843,-70.4533844,21307.0,Biddeford
202,45.3324647,-93.7460804,10188.0,BigLake
203,43.6980782,-85.4836558,10649.0,BigRapids
204,32.250398,-101.4787356,27282.0,BigSpring
205,45.78749570000001,-108.49606999999999,105534.0,Billings
206,30.396031800000003,-88.88536450000001,44250.0,Biloxi
207,42.096968,-75.91434100000001,47019.0,Binghamton
208,46.808326799999996,-100.7837392,62997.0,Bismarck
209,35.94204310000001,-95.8833235,21521.0,Bixby
210,37.3173747,-122.14790090000001,7869.0,BlackMountain
211,43.190038799999996,-112.34835690000001,11963.0,Blackfoot
212,37.2296566,-80.4136767,42791.0,Blacksburg
213,38.93929970000001,-76.9337983,9281.0,Bladensburg
214,35.8970899,-98.42259609999999,58128.0,Blaine
215,40.487074799999995,-78.36823290000001,8002.0,Blair
216,40.6572884,-79.8283853,7532.0,Blanchard
217,40.806767,-74.1854226,7952.0,Bloomfield
218,27.893635999999997,-82.2403682,7714.0,Bloomingdaleborough
219,43.509512799999996,-80.4624378,22185.0,Bloomingdalevillage
220,39.1670396,-86.5342881,80915.66666666667,Bloomington
221,41.0041213,-76.453816,14634.0,Bloomsburg
222,39.2320073,-84.3782817,12087.0,BlueAsh
223,41.65530805,-87.67759047,23789.0,BlueIsland
224,39.01723,-94.2822095,52786.0,BlueSprings
225,37.252617,-81.2712105,10488.0,Bluefield
226,40.489671200000004,-111.9388244,7771.0,Bluffdale
227,40.7386579,-85.1716368,11705.0,Bluffton
228,33.560286100000006,-114.91207250000001,20250.0,Blythe
229,35.9272953,-89.91897540000001,15480.0,Blytheville
230,34.1663695,-86.17084113,9555.0,Boaz
231,26.3586885,-80.08309840000001,86622.0,BocaRaton
232,29.794664100000002,-98.7319703,11064.0,Boerne
233,30.791020399999997,-89.8486858,12197.0,Bogalusa
234,43.5988375,-116.243255,209280.0,BoiseCity
235,39.98265,-83.1258399,73783.0,Bolingbrookvillage
236,33.7702263,-90.8519798,10391.0,Bolivar
237,33.577327600000004,-96.17831109999999,10090.0,Bonham
238,26.361864500000003,-81.79306068,44927.0,BonitaSprings
239,39.059726,-94.88357540000001,7338.0,BonnerSprings
240,47.1870191,-122.1702293,17720.0,BonneyLake
241,42.321246,-88.82355109999999,15128.0,Boone
242,37.4761991,-83.6749145,8776.0,Booneville
243,40.9025989,-74.40709709999999,8405.0,Boonton
244,38.97363920000001,-92.74324179999999,8281.0,Boonville
245,32.5499425,-93.70095925,63441.0,BossierCity
246,42.3604823,-71.0595678,630645.0,Boston
247,47.759853,-122.20682169999999,34113.0,Bothell
248,40.0149856,-105.2705456,100852.0,Boulder
249,35.978591200000004,-114.8324851,15021.0,BoulderCity
250,40.568436299999995,-74.5384889,10479.0,BoundBrookborough
251,40.889461100000005,-111.8804817,42856.0,Bountiful
252,39.0067768,-76.77913649999999,55725.0,Bowie
253,36.990319899999996,-86.4436018,45271.0,BowlingGreen
254,41.358605600000004,-113.21120719999999,8481.0,BoxElder
255,26.525349100000003,-80.0664309,68946.0,BoyntonBeach
256,45.6799842,-111.0446748,38099.0,Bozeman
257,27.4989278,-82.5748194,49753.0,Bradenton
258,44.9209017,-68.6280864,15925.0,Bradleyvillage
259,46.3580221,-94.2008288,13536.0,Brainerd
260,36.644039899999996,-93.21713299999999,10785.0,Branson
261,34.1092735,-83.7626729,7724.0,Braselton
262,32.9786566,-115.530267,25284.0,Brawley
263,33.917044399999995,-117.88885570000001,39897.0,Brea
264,30.273532300000003,-91.89928370000001,8241.0,BreauxBridge
265,41.3197763,-81.6267904,13570.0,Brecksville
266,47.5665391,-122.6527973,39241.0,Bremerton
267,30.166882799999996,-96.3977442,16022.0,Brenham
268,37.9317766,-121.69602659999998,32965.333333333336,Brentwood
269,37.9317766,-121.69602659999998,9635.0,Brentwoodborough
270,28.2446658,-80.728624,7623.0,Brevard
271,44.7964921,-68.76008320000001,9449.0,Brewer
272,30.0207678,-93.8457255,7899.0,BridgeCity
273,41.1670412,-73.2048348,77196.0,Bridgeport
274,39.427337,-75.2340768,18402.5,Bridgeton
275,39.4101171,-74.3645906,9426.0,Brigantine
276,41.5103717,-112.0155619,18051.0,BrighamCity
277,41.313942600000004,-81.68512709999999,19313.0,BroadviewHeights
278,38.841779700000004,-76.9458075,7951.0,Broadviewvillage
279,43.2331158,-77.92751290000001,8300.0,Brockportvillage
280,42.083433500000005,-71.0183787,94147.0,Brockton
281,36.0525993,-95.7908195,100093.0,BrokenArrow
282,41.3983838,-81.80457879999999,19071.0,BrookPark
283,43.0605671,-88.1064787,37912.0,Brookfield
284,40.00684365,-83.16311091,19016.0,Brookfieldvillage
285,31.58369,-90.44180867,31055.5,Brookhaven
286,31.58369,-90.44180867,8016.0,Brookhavenborough
287,44.311460499999995,-96.7984397,22244.0,Brookings
288,40.6501038,-73.9495823,11077.0,Brooklyn
289,45.07485429999999,-93.3296296,30426.0,BrooklynCenter
290,45.100480700000006,-93.3443585,76889.0,BrooklynPark
291,33.2345685,-88.5822673,7717.0,Brooksville
292,39.937989200000004,-105.0587294,57433.0,Broomfield
293,30.147146000000003,-91.9612306,8567.0,Broussard
294,33.181203499999995,-102.2743489,9682.0,Brownfield
295,39.843376899999996,-86.3977736,22045.0,Brownsburg
296,25.914025600000002,-97.4890856,94353.0,Brownsville
297,31.733789,-98.98583773,19142.0,Brownwood
298,30.693444,-96.40080172,42896.5,Bryan
299,44.930720799999996,-93.2681007,18160.0,Bryant
300,38.9237892,-120.79798829999999,52419.0,Buckeye
301,40.8083909,-82.9754649,12222.0,Bucyrus
302,33.870413,-117.9962165,81709.0,BuenaPark
303,42.8864468,-78.8783689,138083.5,Buffalo
304,34.1206564,-84.0043513,12483.0,Buford
305,35.147777399999995,-114.5682983,39615.0,BullheadCity
306,34.181648200000005,-118.3258554,66519.5,Burbank
307,47.469918,-122.3485274,48758.0,Burien
308,34.0978711,-98.57061340000001,10746.0,Burkburnett
309,32.515271999999996,-97.34509602,38316.0,Burleson
310,42.535742799999994,-113.79279479999998,10404.0,Burley
311,37.5841026,-122.36608249999999,29302.0,Burlingame
312,44.4723989,-73.2114941,24647.333333333332,Burlington
313,44.7677424,-93.27772259999999,60655.0,Burnsville
314,37.77924,-96.8456342,13705.0,Butler
315,37.77924,-96.8456342,7620.0,Butlerborough
316,36.1320893,-78.7566714,7611.0,Butner
317,45.9838436,-112.5007277,33687.0,ButteSilverBow
318,41.00426420000001,-73.6537385,11660.0,Byram
319,34.979881,-92.01919814,24285.0,Cabot
320,34.144664299999995,-118.6440973,23809.0,Calabasas
321,32.082078499999994,-92.1130105,47221.0,Caldwell
322,32.082078499999994,-92.1130105,7854.0,Caldwellborough
323,33.68289179999999,-88.32448120000001,24685.0,Caledoniavillage
324,33.1035045,-86.7505733,12115.0,Calera
325,32.6789476,-115.4988834,39048.0,Calexico
326,39.13975070000001,-90.6506113,15768.0,Calhoun
